product_id,product_name,category,cost_per_unit
1056,Jacket V2,Fashion,11.66
1057,Jacket V3,Fashion,21.24
1058,Sneakers V1,Fashion,50.49
1059,Sneakers V2,Fashion,51.72
1060,Sneakers V3,Fashion,26.31
1061,Backpack V1,Fashion,8.29
1062,Backpack V2,Fashion,7.84
1063,Backpack V3,Fashion,6.26
1064,Scarf V1,Fashion,22.66
1065,Scarf V2,Fashion,30.7
1066,Scarf V3,Fashion,26.1
1067,Cap V1,Fashion,39.44
1068,Cap V2,Fashion,55.89
1069,Cap V3,Fashion,44.55
1070,Socks V1,Fashion,50.32
1071,Socks V2,Fashion,17
1072,Socks V3,Fashion,52.91
1073,Face Wash V1,Beauty,31.04
1074,Face Wash V2,Beauty,5.65
1075,Face Wash V3,Beauty,17.97
1076,Serum V1,Beauty,6.51
1077,Serum V2,Beauty,32.59
1078,Serum V3,Beauty,10.03
1079,Moisturizer V1,Beauty,28.58
1080,Moisturizer V2,Beauty,8.17
1081,Moisturizer V3,Beauty,3.77
1082,Lipstick V1,Beauty,20.86
1083,Lipstick V2,Beauty,32.16
1084,Lipstick V3,Beauty,19.49
1085,Shampoo V1,Beauty,28.11
1086,Shampoo V2,Beauty,8.6
1087,Shampoo V3,Beauty,18.09
1088,Conditioner V1,Beauty,27.88
1089,Conditioner V2,Beauty,25.52
1090,Conditioner V3,Beauty,16.05
1091,Sunscreen V1,Beauty,20.63
1092,Sunscreen V2,Beauty,3.81
1093,Sunscreen V3,Beauty,20.2
1094,Perfume V1,Beauty,16.06
1095,Perfume V2,Beauty,28.3
1096,Perfume V3,Beauty,11.13
1097,Yoga Mat V1,Sports,17.48
1098,Yoga Mat V2,Sports,58.19
1099,Yoga Mat V3,Sports,30.57
1100,Dumbbells V1,Sports,49.62
1101,Dumbbells V2,Sports,9.79
1102,Dumbbells V3,Sports,49.07
1103,Football V1,Sports,18.4
1104,Football V2,Sports,79.39
1105,Football V3,Sports,52.76
1106,Cycling Bottle V1,Sports,31.35
1107,Cycling Bottle V2,Sports,41.62
1108,Cycling Bottle V3,Sports,35.57
1109,Resistance Band V1,Sports,15.37
1110,Resistance Band V2,Sports,83.28
1111,Resistance Band V3,Sports,58.18
1112,Running Shorts V1,Sports,43.77
1113,Running Shorts V2,Sports,34.43
1114,Running Shorts V3,Sports,74.34
1115,Tennis Racket V1,Sports,47.94
1116,Tennis Racket V2,Sports,16.72
1117,Tennis Racket V3,Sports,40.37
1118,Gym Gloves V1,Sports,43.13
1119,Gym Gloves V2,Sports,19.13
1120,Gym Gloves V3,Sports,35.45
1121,Olive Oil V1,Grocery,5.73
1122,Olive Oil V2,Grocery,5.28
1123,Olive Oil V3,Grocery,2.93
1124,Cereal V1,Grocery,3.2
1125,Cereal V2,Grocery,5.48
1126,Cereal V3,Grocery,5.1
1127,Coffee Beans V1,Grocery,3.93
1128,Coffee Beans V2,Grocery,8.94
1129,Coffee Beans V3,Grocery,1.79
1130,Protein Bar V1,Grocery,4.81
1131,Protein Bar V2,Grocery,6.67
1132,Protein Bar V3,Grocery,15.1
1133,Pasta V1,Grocery,4.23
1134,Pasta V2,Grocery,2.37
1135,Pasta V3,Grocery,10.75
1136,Tea Pack V1,Grocery,10.21
1137,Tea Pack V2,Grocery,2
1138,Tea Pack V3,Grocery,5.11
1139,Chocolate Box V1,Grocery,15.29
1140,Chocolate Box V2,Grocery,8.51
1141,Chocolate Box V3,Grocery,8.84
1142,Granola V1,Grocery,5.48
1143,Granola V2,Grocery,6.41
1144,Granola V3,Grocery,12.38
